id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H,spectral_class
bk10g07s,       (2010 GS7),Y,Y,0.043404,0.6603124274346193,2.689720932482516,0.913664774433278,9.132652905659205,0.203,0.107,APO,21.5,C
bk10g07t,       (2010 GT7),Y,Y,0.0289527,0.6847343993748968,2.721362788484095,0.8579520740302441,9.216001876935644,0.216,0.326,APO,20.2,S
bk10g21u,       (2010 GU21),Y,Y,0.0109414,0.5634630143479012,2.17967314573669,0.9515079447467224,3.189607719341302,0.51,0.025,APO,21.1,C
bk10g23k,       (2010 GK23),Y,N,0.0966907,0.6768736960468382,2.698425726813886,0.8719323315974953,34.88407982762793,0.277,0.303,APO,19.7,S
bk10g23l,       (2010 GL23),Y,N,0.0638898,0.3658389258201207,1.154942979178333,0.7324198802922414,7.198282937082702,0.092,0.159,APO,22.8,S
bk10g23x,       (2010 GX23),Y,N,0.0279564,0.4516297020566671,1.483618281295272,0.813572198948064,1.915311933963886,0.06,0.334,APO,23.0,M
bk10g25f,       (2010 GF25),Y,N,0.398762,0.7366787359377969,1.421604611183915,0.3743387232136054,38.49296944439001,1.127,0.018,APO,19.1,C
bk10g33o,       (2010 GO33),Y,N,0.193292,0.6986590909633724,2.410549858277267,0.7263972855713854,19.12841867523487,0.313,0.377,APO,19.2,M
bk10g62w,       (2010 GW62),Y,N,0.440436,0.5756358928007154,1.269767686494652,0.5388438306298042,32.43662475609581,0.285,0.378,APO,19.5,M
bk10g65h,       (2010 GH65),Y,N,0.146132,0.6113261062313539,2.705111880057119,1.051406367501623,21.04869578441209,0.493,0.241,AMO,18.7,S
bk10g67p,       (2010 GP67),Y,N,0.0168408,0.1072709551028299,1.114065557799977,0.9945586813676068,13.27152658302662,0.251,0.034,APO,22.5,C
bk10g75q,       (2010 GQ75),Y,N,0.616031,0.8603394085722409,2.444371512546812,0.3413823711114539,43.33530613130851,0.372,0.106,APO,20.2,C
bk10g75r,       (2010 GR75),Y,N,0.298715,0.6360244463274699,1.726997567033871,0.6285848956522655,17.79536014107925,0.277,0.334,APO,19.6,M
bk10ge7v,       (2010 GV147),Y,N,0.316619,0.660216587423652,0.9588202932583776,0.3257912312907864,44.05107444632896,2.055,0.018,ATE,18.5,C
bk10h00a,       (2010 HA),Y,N,0.0333042,0.1958678189409215,0.9597984212692644,0.7718047978723137,2.182818204158033,0.032,0.482,ATE,23.9,M
bk10h00c,       (2010 HC),Y,N,0.0916839,0.5210065378253781,2.128104570286974,1.019348175991394,6.881698062588765,0.128,0.328,AMO,21.3,S
bk10h20v,       (2010 HV20),Y,N,0.0896375,0.7890969526835938,2.620219100116805,0.5526121928512858,6.453941809519934,0.465,0.016,APO,21.9,C
bk10h33d,       (2010 HD33),Y,N,0.369605,0.5159643040498607,2.61782554113442,1.267121007679049,24.43212954094432,0.563,0.267,AMO,18.3,S
bk10h81w,       (2010 HW81),Y,N,0.118074,0.7335935764707143,1.219655812233247,0.3249241428737652,12.88619574597343,0.352,0.039,APO,21.4,C
bk10ha4z,       (2010 HZ104),Y,N,0.030472,0.5676257949271007,2.248717345717514,0.9722873747882502,20.24792066386066,0.14,0.09,APO,22.5,C
bk10ha7x,       (2010 HX107),Y,N,0.0134029,0.3004318782659677,0.8010279307175621,0.5603736049485835,3.364850020444671,0.064,0.187,ATE,23.6,S
bk10j00e,       (2010 JE),Y,N,0.105484,0.6573851405023756,2.774172786672862,0.9504728195280556,13.90054083021575,0.406,0.09,APO,20.2,C
bk10j00g,       (2010 JG),Y,Y,0.0287585,0.3197165645560932,1.19021639423984,0.8096844975951377,23.30843106764432,0.192,0.209,APO,20.9,S
bk10j03h,       (2010 JH3),Y,N,0.0184924,0.4701978063103474,1.756874447281395,0.930795936206979,19.76466025426824,0.039,0.087,APO,25.3,C
bk10j03j,       (2010 JJ3),Y,N,0.0215351,0.5760962276988973,2.235959376469025,0.947831614397241,2.404711742051469,0.032,0.609,APO,23.6,M
bk10j33k,       (2010 JK33),Y,Y,0.0250335,0.6102238633872006,2.231379553179558,0.8697385015551227,4.0423132523754,0.208,0.148,APO,21.2,S
bk10j33n,       (2010 JN33),Y,N,0.255141,0.2876935379780511,1.554469852144641,1.107258920700931,53.14833495128282,0.286,0.086,AMO,20.5,C
bk10j34v,       (2010 JV34),Y,Y,0.038543,0.5441326355543157,1.722953373602499,0.7854382134869716,7.209865711238126,0.226,0.165,APO,20.8,S
bk10j35a,       (2010 JA35),Y,N,0.225227,0.5763595897340255,2.159208013556496,0.914727768712654,29.01394430747336,0.309,0.107,APO,20.4,C
bk10j39w,       (2010 JW39),Y,N,0.0229125,0.3900913034170239,1.63727795401884,0.9985900628796728,3.00250035203455,0.039,0.187,APO,24.5,S
bk10j41l,       (2010 JL41),Y,N,0.125966,0.6657082138877468,1.726796034584357,0.577253730652761,7.570405457705531,0.359,0.073,APO,20.6,C
bk10j71n,       (2010 JN71),Y,Y,0.0301849,0.588807484606638,2.38409712380822,0.9803228932807816,17.7195833596105,0.214,0.106,APO,21.4,C
bk10j71o,       (2010 JO71),Y,N,0.0461408,0.3868414306528596,1.171988492592045,0.7186147874090502,6.005688466208085,0.037,0.349,APO,23.9,M
bk10j87f,       (2010 JF87),Y,N,0.0537385,0.6208160464938856,2.435471415810897,0.92349168009831,24.93025011964755,0.945,0.041,APO,19.2,C
bk10j87g,       (2010 JG87),Y,N,0.211346,0.9475251760700178,2.766943868819482,0.1451948923404459,16.84026605363755,0.408,0.202,APO,19.2,S
bk10j87h,       (2010 JH87),Y,N,0.222626,0.5401331641655894,1.537309323238891,0.7069575741766081,43.76214040505008,0.428,0.127,APO,19.6,C
bk10jf1m,       (2010 JM151),Y,N,0.111793,0.4811746717997952,1.698443396870071,0.8811954528105856,16.65023922214153,0.543,0.086,APO,19.7,C
bk10k00h,       (2010 KH),Y,N,0.379362,0.5469426354864464,2.769556834952222,1.254768120513952,14.57093347860006,0.645,0.029,AMO,19.4,C
bk10k07u,       (2010 KU7),Y,N,0.0500727,0.3808337622770633,1.665357021360197,1.03113284138107,6.752509373432181,0.102,0.224,AMO,22.2,S
bk10k07v,       (2010 KV7),Y,N,0.00125259,0.218541730910739,1.214105985758994,0.9487731621221344,0.3144854601972688,0.013,0.397,APO,26.0,M
bk10k08a,       (2010 KA8),Y,N,0.0965387,0.433717345400163,1.620480687613492,0.9176501055095372,10.11829816191581,0.183,0.147,APO,21.4,C
bk10k10p,       (2010 KP10),Y,N,0.0608038,0.1660948111168488,1.131184005263084,0.9433002115705116,16.19422031736707,0.087,0.101,APO,23.4,C
bk10k39y,       (2010 KY39),Y,N,0.302917,0.398615984738065,1.740361884286769,1.046625817981204,25.50933558678226,0.685,0.029,AMO,20.1,C
bk10k61b,       (2010 KB61),Y,Y,0.0496883,0.233750535807892,1.274873908079052,0.9768714489780724,44.59875388604336,0.417,0.065,APO,20.5,C
bk10kc7k,       (2010 KK127),Y,N,0.277447,0.4255801820095556,2.229866168550526,1.280879318681843,6.968501978062427,0.501,0.034,AMO,20.7,C
bk10l14h,       (2010 LH14),Y,N,0.0547628,0.5740184995696909,2.199121542611613,0.9367850943503112,4.664686163255844,0.101,0.274,APO,22.0,S
bk10l33q,       (2010 LQ33),Y,N,0.226693,0.459408738406256,2.269717294357479,1.226989335617849,24.63538658311837,0.872,0.04,AMO,19.4,C
bk10l34k,       (2010 LK34),Y,Y,0.00827844,0.8072424516217424,1.830857177311006,0.3529115409292064,5.325102171563368,0.108,0.271,APO,21.9,S
bk10l61j,       (2010 LJ61),Y,N,0.0537553,0.4729439988644051,1.072691072834594,0.5653682673020526,10.18953399834677,0.192,0.208,APO,20.9,S
bk10l61k,       (2010 LK61),Y,N,0.0971996,0.5779041313557931,1.666511313740832,0.7034275405788349,22.70706721216951,0.191,0.084,APO,21.9,C
bk10l63z,       (2010 LZ63),Y,Y,0.0131625,0.7654549896641221,1.923488205164094,0.4511445609611517,13.95341478600738,0.877,0.021,APO,20.1,C
bk10l64b,       (2010 LB64),Y,N,0.0547632,0.2160508500318745,1.354988197466859,1.062241845620987,51.72091135673291,0.088,0.477,AMO,21.7,M
bk10l64g,       (2010 LG64),Y,N,0.0600965,0.6046693223840558,2.680220247966544,1.059573286788588,42.07611438745828,0.94,0.015,AMO,20.2,C
bk10l68j,       (2010 LJ68),Y,N,0.0322953,0.4538371468008742,1.771456553540098,0.9675037655997502,17.13177176989959,0.193,0.039,APO,22.7,C
bk10l68k,       (2010 LK68),Y,N,0.0255248,0.4733176199073617,1.168601604025542,0.6154818741882475,21.90142755301061,0.236,0.032,APO,22.5,C
bk10l68l,       (2010 LL68),Y,N,0.138993,0.5247697667417642,2.072311332220595,0.9848249977948784,10.49003970249266,0.153,0.063,APO,22.9,C
bk10l97o,       (2010 LO97),Y,N,0.224872,0.5283122378097665,2.575593084261817,1.214875738228098,21.70300622165915,1.629,0.02,AMO,18.7,C
bk10la8u,       (2010 LU108),Y,N,0.125581,0.8182534573984808,2.240698474163387,0.4072392006916952,9.495774768476236,0.825,0.026,APO,20.0,C
bk10la8v,       (2010 LV108),Y,N,0.0202553,0.6513047777971247,2.741005863114359,0.9557756484980452,4.402874818651165,0.234,0.029,APO,22.6,C
bk10ld4u,       (2010 LU134),Y,N,0.14505,0.5458443262217748,1.89706320212933,0.8615620167629231,27.37123235581733,0.317,0.443,APO,19.6,M
bk10m01g,       (2010 MG1),Y,N,0.0357697,0.5097362919253786,1.984207802995866,0.9727850750873512,6.586610168266747,0.053,0.301,APO,23.3,S
bk10m01p,       (2010 MP1),Y,N,0.0569337,0.4873836802847321,0.8551017511999011,0.438339112682174,22.64270373027779,0.104,0.518,ATE,21.4,M
bk10m01y,       (2010 MY1),Y,N,0.0164308,0.2110946795717968,1.214413765092607,0.9580574804828036,9.697434556380152,0.043,0.265,APO,23.9,S
bk10mb1u,       (2010 MU111),Y,N,0.0610051,0.6134424653927745,2.390861533966796,0.9242055401574542,41.55125888910167,1.947,0.015,APO,18.7,C
bk10mb2u,       (2010 MU112),Y,Y,0.000803608,0.5398480076961046,1.75618460953483,0.8081118469308906,48.03457296537179,0.599,0.028,APO,20.7,C
bk10n00a,       (2010 NA),Y,N,0.100763,0.654109949474367,1.723351597286802,0.5960901710589624,6.388686245774795,0.32,0.109,APO,20.6,C
bk10n01g,       (2010 NG1),Y,N,0.0810601,0.3326519594189412,0.8491420963163426,0.5666733141516039,24.74202244110324,0.229,0.142,ATE,20.4,C
bk10n01k,       (2010 NK1),Y,N,0.010685,0.1837201093393774,1.014609999058887,0.8282057390949624,14.76372614555016,0.219,0.04,APO,22.4,C
bk10n01u,       (2010 NU1),Y,N,0.335406,0.7971292978259154,2.375872057825649,0.4819948326468769,34.49706998866294,0.286,0.072,APO,21.1,C
bk10n02b,       (2010 NB2),Y,N,0.103115,0.7611660821196492,2.084678390292558,0.4978919074740746,28.67612321965548,0.21,0.303,APO,20.1,S
bk10o00c,       (2010 OC),Y,N,0.0786257,0.633492513027368,2.881351363172216,1.056036847201417,12.75178730210093,0.344,0.342,AMO,19.1,M
bk10o01p,       (2010 OP1),Y,N,0.260378,0.6180068427162317,2.781288721382121,1.062433259998491,18.44268699080114,1.188,0.025,AMO,19.3,C
bk10o01q,       (2010 OQ1),Y,N,0.185148,0.5482051397190837,2.145659094833283,0.9693977509606804,18.88584658965118,0.539,0.153,APO,19.0,S
bk10o22e,       (2010 OE22),Y,N,0.176299,0.6334108088068711,2.636173466130689,0.9663926987936368,14.32131882685719,0.174,0.176,APO,21.3,S
bk10oa0l,       (2010 OL100),Y,N,0.130019,0.6538576707395438,2.261380585474483,0.7827595432005117,22.20267214601393,0.308,0.246,APO,19.6,S
bk10oa1c,       (2010 OC101),Y,N,0.0914856,0.2273955388181921,1.221603735017313,0.9438164954707352,13.6019769220112,0.148,0.384,APO,20.7,M
bk10oa1d,       (2010 OD101),Y,N,0.189694,0.358220371798952,1.618545423500453,1.038749480120629,15.39369694951855,0.198,0.217,AMO,20.7,S
bk10oa1f,       (2010 OF101),Y,N,0.061585,0.3251475635977284,0.9509488842585792,0.641750171435924,23.37316226456015,0.303,0.231,ATE,19.6,S
bk10oa1l,       (2010 OL101),Y,N,0.295899,0.5980464006462776,2.609184478546543,1.048771092529648,26.111357848804,0.195,0.321,AMO,20.4,S
bk10oa1n,       (2010 ON101),Y,Y,0.0449427,0.4089962292594377,1.629107947950075,0.9628089401819137,9.30672017483734,0.238,0.225,APO,20.2,S
