id,full_name,neo,pha,moid,e,a,q,i,diameter,albedo,class,H
bK16R34A,       (2016 RA34),Y,N,0.0212626,0.3078752814937253,0.9415553176302434,0.6516737091729182,3.637751763402087,0.04319956278440562,,ATE,24.5
bK16R34B,       (2016 RB34),Y,N,0.034104,0.10938839758073,1.137566012855803,1.013129489567206,9.002825533788398,0.034314632447397714,,APO,25.0
bK16R34C,       (2016 RC34),Y,N,0.061145,0.4748150003429293,2.028841261196479,1.065516997065724,4.176424954754634,0.018008575104123223,,AMO,26.4
bK16R34D,       (2016 RD34),Y,N,0.00475141,0.03467326477119675,1.046301966478046,1.010023261363729,1.957838482252456,0.010362853329448146,,APO,27.6
bK16R34E,       (2016 RE34),Y,N,0.00362214,0.321839642623414,1.489082647889949,1.00983682065632,1.562272352124029,0.00750722360083508,,APO,28.3
bK16R34F,       (2016 RF34),Y,N,0.0118365,0.3652831796897771,1.565057636186573,0.9933684064425752,10.32407108046371,0.04319956278440562,,APO,24.5
bK16R40F,       (2016 RF40),Y,N,0.168869,0.1564132979968621,1.280452658586532,1.080172835328163,20.85959803214397,0.15684813222680874,,AMO,21.7
bK16R40G,       (2016 RG40),Y,N,0.264085,0.5489316356407048,2.738725945027005,1.235352632451696,14.49032966538822,0.5963199670531791,,AMO,18.8
bK16R40H,       (2016 RH40),Y,N,0.0438283,0.267248731379096,1.318631897454386,0.9662291957036908,15.15620256299238,0.047367378676019346,,APO,24.3
bK16R40J,       (2016 RJ40),Y,N,0.0205009,0.5070737039020995,2.093410323082979,1.031896996770402,3.429612267499901,0.031295316740540716,,AMO,25.2
bK16R40K,       (2016 RK40),Y,N,0.000559843,0.6218827405297704,2.23383871876691,0.8446529744386331,4.711309809702793,0.009896448099650543,,APO,27.7
bK16R40L,       (2016 RL40),Y,N,0.0119206,0.3832496110881371,1.218663671303182,0.7516112932289963,10.26709382831016,0.026030310669964644,,APO,25.6
bK16R40M,       (2016 RM40),Y,N,0.0126986,0.7616825230445291,2.435410367624283,0.580400854163415,0.9645419054625248,0.039398469514814086,,APO,24.7
bK16R40N,       (2016 RN40),Y,N,0.218535,0.5945788310120936,2.952495045694156,1.197003992856327,6.071025136566782,0.35931831251543855,,AMO,19.9
bK16R40O,       (2016 RO40),Y,N,0.0176865,0.6487601891707837,2.294427031342603,0.8058941164502161,3.828712952065525,0.04319956278440562,,APO,24.5
bK16R40P,       (2016 RP40),Y,N,0.0109835,0.3239890870367026,1.159799032906208,0.784036803088875,7.389834935717934,0.03762524628723898,,APO,24.8
bK16R40W,       (2016 RW40),Y,N,0.263425,0.1404825774730404,1.429255298244928,1.228469830080481,19.46233575988688,0.1085123956052948,,AMO,22.5
bK16R40Y,       (2016 RY40),Y,N,0.207718,0.2769295146080092,1.576490951949716,1.139914077842362,15.49193976374862,0.4959973445799733,,AMO,19.2
bK16R40Z,       (2016 RZ40),Y,N,0.111438,0.6082079093072995,2.816172124353802,1.10335396435108,1.752106561467701,0.1085123956052948,,AMO,22.5
bK16R41A,       (2016 RA41),Y,N,0.24184,0.5213103593500961,2.591307927492593,1.240432260624676,3.246549834123455,0.14978880340791204,,AMO,21.8
bK16R41B,       (2016 RB41),Y,N,0.166783,0.5221836437651255,2.439059612372598,1.16542257662352,2.735202368571452,0.05193729792671286,,AMO,24.1
